FSCSKEY,district_geoid,weight
NY0132,3629160,1.0
NY0144,3614640,1.0
NY0150,3626430,1.0
NY0159,3613020,1.0
NY0165,3609060,1.0
NY0171,3629610,1.0
NY0177,3621330,1.0
NY0178,3622260,1.0
NY0188,3613560,1.0
NY0190,3626850,1.0
NY0191,3628020,1.0
NY0200,3619860,1.0
NY0206,3631740,1.0
NY0208,3607110,1.0
NY0220,3604140,1.0
NY0242,3606720,1.0
NY0246,3615060,1.0
NY0256,3614400,1.0
NY0260,3618570,1.0
NY0276,3614220,1.0
NY0278,3622200,1.0
NY0284,3623370,1.0
NY0287,3606390,1.0
NY0290,3608850,1.0
NY0293,3619920,1.0
NY0313,3630160,1.0
NY0315,3631320,1.0
NY0318,3612270,1.0
NY0319,3615980,1.0
NY0320,3621300,1.0
NY0322,3606300,1.0
NY0325,3611370,1.0
NY0328,3600010,1.0
NY0329,3619260,1.0
NY0330,3626100,1.0
NY0334,3603840,1.0
NY0337,3604740,1.0
NY0338,3609840,1.0
NY0342,3610980,1.0
NY0345,3611550,1.0
NY0347,3612180,1.0
NY0348,3612510,1.0
NY0350,3631710,1.0
NY0351,3614340,1.0
NY0352,3615480,1.0
NY0353,3615510,1.0
NY0354,3615810,1.0
NY0356,3616830,1.0
NY0357,3617160,1.0
NY0359,3617730,1.0
NY0362,3618270,1.0
NY0363,3618630,1.0
NY0370,3621570,1.0
NY0371,3622290,1.0
NY0372,3623190,1.0
NY0373,3623220,1.0
NY0374,3623580,1.0
NY0375,3624780,1.0
NY0376,3624990,1.0
NY0377,3625050,1.0
NY0379,3626400,1.0
NY0380,3628560,1.0
NY0383,3629850,1.0
NY0384,3630660,1.0
NY0385,3630960,1.0
NY0390,3603990,1.0
NY0392,3608340,1.0
NY0393,3616950,1.0
NY0395,3622500,1.0
NY0396,3603960,1.0
NY0398,3617670,1.0
NY0399,3625140,1.0
NY0400,3620760,1.0
NY0402,3621240,1.0
NY0409,3617970,1.0
NY0410,3618960,1.0
NY0448,3611700,1.0
NY0452,3622050,1.0
NY0470,3621360,1.0
NY0472,3623670,1.0
NY0477,3603870,1.0
NY0488,3617520,1.0
NY0496,3629130,1.0
NY0500,3608790,1.0
NY0501,3611940,1.0
NY0505,3621450,1.0
NY0512,3622710,1.0
